,gk,jenis,daerah,Cluster
119,424765.0,TOTAL,PERKOTAAN,5
120,458010.99999999994,TOTAL,PERDESAAN,1
121,479872.0,TOTAL,PERDESAAN,1
122,486338.00000000006,TOTAL,PERDESAAN,1
123,496751.99999999994,TOTAL,PERDESAAN,1
124,425730.00000000006,TOTAL,PERDESAANPERKOTAAN,1
125,442869.00000000006,TOTAL,PERDESAANPERKOTAAN,1
126,454739.99999999994,TOTAL,PERDESAANPERKOTAAN,1
127,467242.0,TOTAL,PERDESAANPERKOTAAN,1
128,435454.00000000006,TOTAL,PERKOTAAN,5
129,454124.00000000006,TOTAL,PERKOTAAN,5
130,464625.99999999994,TOTAL,PERKOTAAN,5
131,476665.0,TOTAL,PERKOTAAN,5
132,501617.00000000006,TOTAL,PERDESAAN,1
133,517899.99999999994,TOTAL,PERDESAAN,1
134,541451.0,TOTAL,PERDESAAN,1
135,543685.0,TOTAL,PERDESAAN,1
136,479568.99999999994,TOTAL,PERDESAANPERKOTAAN,1
137,497615.00000000006,TOTAL,PERDESAANPERKOTAAN,1
138,512886.0,TOTAL,PERDESAANPERKOTAAN,1
139,514663.0,TOTAL,PERDESAANPERKOTAAN,1
140,486935.0,TOTAL,PERKOTAAN,5
141,504414.0,TOTAL,PERKOTAAN,5
142,522125.00000000006,TOTAL,PERKOTAAN,5
143,524208.00000000006,TOTAL,PERKOTAAN,5
144,565776.0,TOTAL,PERDESAAN,1
145,577270.0,TOTAL,PERDESAAN,1
146,606394.0,TOTAL,PERDESAAN,1
147,646232.0,TOTAL,PERDESAAN,1
148,529035.0,TOTAL,PERDESAANPERKOTAAN,1
149,541000.0,TOTAL,PERDESAANPERKOTAAN,1
150,565762.0,TOTAL,PERDESAANPERKOTAAN,1
151,602900.0,TOTAL,PERDESAANPERKOTAAN,1
152,541109.0,MAKANAN,PERKOTAAN,2
153,552939.0,MAKANAN,PERKOTAAN,2
154,579228.0,MAKANAN,PERKOTAAN,2
155,617293.0,MAKANAN,PERKOTAAN,2
156,261677.00000000003,MAKANAN,PERDESAAN,3
157,273271.0,MAKANAN,PERDESAAN,3
158,290096.0,MAKANAN,PERDESAAN,3
159,302027.0,MAKANAN,PERDESAAN,3
160,266143.0,MAKANAN,PERDESAANPERKOTAAN,3
161,284650.0,MAKANAN,PERDESAANPERKOTAAN,3
162,304942.0,MAKANAN,PERDESAANPERKOTAAN,3
163,313234.0,MAKANAN,PERDESAANPERKOTAAN,3
164,263932.0,MAKANAN,PERKOTAAN,2
165,279015.0,MAKANAN,PERKOTAAN,2
166,296832.0,MAKANAN,PERKOTAAN,2
167,308037.0,MAKANAN,PERKOTAAN,2
168,311996.0,MAKANAN,PERDESAAN,3
169,321688.0,MAKANAN,PERDESAAN,3
170,328225.0,MAKANAN,PERDESAAN,3
171,345167.0,MAKANAN,PERDESAAN,3
172,316190.0,MAKANAN,PERDESAANPERKOTAAN,3
173,322222.0,MAKANAN,PERDESAANPERKOTAAN,3
174,333843.0,MAKANAN,PERDESAANPERKOTAAN,3
175,342317.0,MAKANAN,PERDESAANPERKOTAAN,3
176,314243.0,MAKANAN,PERKOTAAN,2
177,321967.0,MAKANAN,PERKOTAAN,2
178,331105.0,MAKANAN,PERKOTAAN,2
179,343740.0,MAKANAN,PERKOTAAN,2
180,354346.0,MAKANAN,PERDESAAN,3
181,366831.0,MAKANAN,PERDESAAN,3
182,376919.0,MAKANAN,PERDESAAN,3
183,378679.0,MAKANAN,PERDESAAN,3
184,348030.0,MAKANAN,PERDESAANPERKOTAAN,3
185,367379.0,MAKANAN,PERDESAANPERKOTAAN,3
186,376656.0,MAKANAN,PERDESAANPERKOTAAN,3
187,378550.0,MAKANAN,PERDESAANPERKOTAAN,3
188,351215.0,MAKANAN,PERKOTAAN,2
189,367105.0,MAKANAN,PERKOTAAN,2
190,376790.0,MAKANAN,PERKOTAAN,2
191,378617.0,MAKANAN,PERKOTAAN,2
192,397996.0,MAKANAN,PERDESAAN,3
193,409313.0,MAKANAN,PERDESAAN,3
194,431588.0,MAKANAN,PERDESAAN,3
195,458089.00000000006,MAKANAN,PERDESAAN,3
196,391979.0,MAKANAN,PERDESAANPERKOTAAN,3
197,399971.0,MAKANAN,PERDESAANPERKOTAAN,3
198,415301.0,MAKANAN,PERDESAANPERKOTAAN,3
199,438098.0,MAKANAN,PERDESAANPERKOTAAN,3
200,395104.0,NONMAKANAN,PERKOTAAN,0
201,404860.0,NONMAKANAN,PERKOTAAN,0
202,423759.99999999994,NONMAKANAN,PERKOTAAN,0
203,448622.99999999994,NONMAKANAN,PERKOTAAN,0
204,102643.0,NONMAKANAN,PERDESAAN,4
205,106627.00000000001,NONMAKANAN,PERDESAAN,4
206,108312.00000000001,NONMAKANAN,PERDESAAN,4
207,111807.99999999999,NONMAKANAN,PERDESAAN,4
208,65752.0,NONMAKANAN,PERDESAANPERKOTAAN,4
209,67987.0,NONMAKANAN,PERDESAANPERKOTAAN,4
210,72806.0,NONMAKANAN,PERDESAANPERKOTAAN,4
211,75473.0,NONMAKANAN,PERDESAANPERKOTAAN,4
212,84021.0,NONMAKANAN,PERKOTAAN,0
213,87123.0,NONMAKANAN,PERKOTAAN,0
214,91324.0,NONMAKANAN,PERKOTAAN,0
215,93795.0,NONMAKANAN,PERKOTAAN,0
